Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2015-12-13,135.23,135.44,133.91,134.57,5333567.0,0.0,1.0,121.48599349781539,121.67465029463962,120.3001507749202,120.89307213636779,5333567.0
2015-12-06,138.09,141.02,137.99,140.43,4567752.0,0.0,1.0,124.05531939742164,126.68753089596929,123.96548282750534,126.1574951334631,4567752.0
2015-11-29,138.0,138.81,137.21,138.46,1415840.0,0.0,1.0,123.97446648449696,124.70214270081901,123.26475758215818,124.38771470611195,1415840.0
2015-11-22,137.37,138.915,137.25,138.5,5176255.0,0.0,1.0,123.40849609402426,124.79647109923111,123.3006922101247,124.42364933407848,5176255.0
2015-11-15,132.95,133.0,131.65,131.75,4609621.0,0.0,1.0,119.43771970372369,119.48263798868186,118.26984429481178,118.35968086472808,4609621.0
2015-11-08,138.6,139.55,137.87,138.25,4744493.0,1.3,1.0,124.51348590399476,125.36693331819966,123.85767894360578,124.19905790928772,4744493.0
2015-11-01,140.44,141.33,139.9,140.08,3983990.0,0.0,1.0,124.99115508979122,125.78325227029475,124.51055680049696,124.67075623026172,3983990.0
2015-10-25,144.61,145.49,143.7,144.68,5370439.0,0.0,1.0,128.70244187934142,129.4856390915247,127.89254476219736,128.76474165758327,5370439.0
2015-10-18,150.45,151.2,149.26,150.39,3483599.0,0.0,1.0,133.90002337837572,134.56752100239555,132.84092714826429,133.84662356845413,3483599.0
2015-10-11,152.46,153.147,151.27,152.39,3531107.0,0.0,1.0,135.68891701074887,136.300344834351,134.62982078063743,135.626617232507,3531107.0
2015-10-04,141.05,144.59,140.56,144.58,3053928.0,0.0,1.0,125.53405315732735,128.6846419427009,125.0979547096344,128.67574197438063,3053928.0
2015-09-27,145.55,146.27,144.53,145.42,3474279.0,0.0,1.0,129.53903890144628,130.17983662050528,128.6312421327793,129.4233393132828,3474279.0
2015-09-20,146.05,146.385,143.98,144.51,7975845.0,0.0,1.0,129.98403731745947,130.2821862561883,128.14174387516476,128.61344219613878,7975845.0
2015-09-13,145.91,147.5,145.67,147.37,3113953.0,0.0,1.0,129.85943776097577,131.27453272389778,129.64583852128942,131.15883313573434,3113953.0
2015-09-06,144.57,145.4,143.32,143.7,4201068.0,0.0,1.0,128.66684200606036,129.4055393766423,127.55434596602731,127.89254476219736,4201068.0
2015-08-30,147.75,148.2,147.18,147.98,4076211.0,0.0,1.0,131.4970319319044,131.89753050631626,130.98973373764935,131.70173120327047,4076211.0
2015-08-23,151.5,153.19,148.7,148.85,7360898.0,0.0,1.0,134.83452005200348,136.33861469812814,132.34252892232948,132.47602844713344,7360898.0
